      16.500       3.000       0.050       0.378
      16.600       3.120       0.044       0.372
      16.700       3.243       0.039       0.366
      16.800       3.369       0.034       0.360
      16.900       3.498       0.030       0.354
      17.000       3.631       0.026       0.348
      17.100       3.767       0.023       0.342
      17.200       3.906       0.020       0.337
      17.300       4.048       0.017       0.332
      17.400       4.193       0.015       0.326
      17.500       4.342       0.013       0.321
      17.600       4.493       0.011       0.316
      17.700       4.648       0.010       0.312
      17.800       4.805       0.008       0.307
      17.900       4.966       0.007       0.302
      18.000       5.129       0.006       0.298
      18.100       5.296       0.005       0.294
      18.200       5.465       0.004       0.290
      18.300       5.637       0.004       0.285
      18.400       5.812       0.003       0.281
      18.500       5.990       0.003       0.278
      18.600       6.171       0.002       0.274
      18.700       6.354       0.002       0.270
      18.800       6.540       0.001       0.267
      18.900       6.729       0.001       0.263
      19.000       6.920       0.001       0.260
      19.100       7.114       0.001       0.256
      19.200       7.310       0.001       0.253
      19.300       7.509       0.001       0.250
      19.400       7.710       0.000       0.247
      19.500       7.914       0.000       0.244
      19.600       8.120       0.000       0.241
      19.700       8.329       0.000       0.238
      19.800       8.540       0.000       0.235
      19.900       8.754       0.000       0.232
      20.000       8.969       0.000       0.230
      20.100       9.187       0.000       0.227
      20.200       9.408       0.000       0.225
      20.300       9.630       0.000       0.222
      20.400       9.855       0.000       0.220
      20.500      10.082       0.000       0.217
      20.600      10.311       0.000       0.215
      20.700      10.542       0.000       0.213
      20.800      10.776       0.000       0.211
      20.900      11.011       0.000       0.208
      21.000      11.249       0.000       0.206
      21.100      11.489       0.000       0.204
      21.200      11.730       0.000       0.202
      21.300      11.974       0.000       0.200
      21.400      12.220       0.000       0.198
      21.500      12.467       0.000       0.196
      21.600      12.717       0.000       0.194
      21.700      12.969       0.000       0.193
      21.800      13.222       0.000       0.191
      21.900      13.478       0.000       0.189
      22.000      13.735       0.000       0.187
      22.100      13.994       0.000       0.186
      22.200      14.255       0.000       0.184
      22.300      14.518       0.000       0.182
      22.400      14.783       0.000       0.181
      22.500      15.050       0.000       0.179
      22.600      15.318       0.000       0.178
      22.700      15.588       0.000       0.176
      22.800      15.860       0.000       0.175
      22.900      16.134       0.000       0.173
      23.000      16.409       0.000       0.172
      23.100      16.686       0.000       0.171
      23.200      16.965       0.000       0.169
      23.300      17.246       0.000       0.168
