 -1.000000  0.038462
 -0.975000  0.304842
 -0.950000  0.486974
 -0.925000  0.599263
 -0.900000  0.654644
 -0.875000  0.664670
 -0.850000  0.639592
 -0.825000  0.588443
 -0.800000  0.519117
 -0.775000  0.438449
 -0.750000  0.352286
 -0.725000  0.265563
 -0.700000  0.182371
 -0.675000  0.106026
 -0.650000  0.039137
 -0.625000 -0.016334
 -0.600000 -0.059010
 -0.575000 -0.088037
 -0.550000 -0.103033
 -0.525000 -0.104028
 -0.500000 -0.091416
 -0.475000 -0.065903
 -0.450000 -0.028463
 -0.425000  0.019714
 -0.400000  0.077254
 -0.375000  0.142650
 -0.350000  0.214294
 -0.325000  0.290515
 -0.300000  0.369610
 -0.275000  0.449879
 -0.250000  0.529651
 -0.225000  0.607311
 -0.200000  0.681326
 -0.175000  0.750264
 -0.150000  0.812817
 -0.125000  0.867814
 -0.100000  0.914241
 -0.075000  0.951250
 -0.050000  0.978170
 -0.025000  0.994518
  0.000000  1.000000
  0.025000  0.994518
  0.050000  0.978171
  0.075000  0.951251
  0.100000  0.914242
  0.125000  0.867816
  0.150000  0.812819
  0.175000  0.750267
  0.200000  0.681329
  0.225000  0.607314
  0.250000  0.529654
  0.275000  0.449882
  0.300000  0.369613
  0.325000  0.290518
  0.350000  0.214297
  0.375000  0.142653
  0.400000  0.077256
  0.425000  0.019715
  0.450000 -0.028461
  0.475000 -0.065902
  0.500000 -0.091416
  0.525000 -0.104028
  0.550000 -0.103033
  0.575000 -0.088038
  0.600000 -0.059011
  0.625000 -0.016336
  0.650000  0.039135
  0.675000  0.106024
  0.700000  0.182368
  0.724999  0.265560
  0.749999  0.352283
  0.774999  0.438446
  0.799999  0.519115
  0.824999  0.588441
  0.849999  0.639591
  0.874999  0.664670
  0.899999  0.654646
  0.924999  0.599266
  0.949999  0.486979
  0.974999  0.304850
  0.999999  0.038473
